"date","game_type","away_team","away_score","home_team","home_score","overtime","neutral_site","score_diff","outcome"
2023-10-21,"Atlantic Hockey","Holy Cross",3,"Robert Morris",3,TRUE,FALSE,0,0.5
2023-10-21,"Atlantic Hockey","Sacred Heart",5,"RIT",2,FALSE,FALSE,-3,0
2023-10-21,"Atlantic Hockey","Mercyhurst",3,"Niagara",3,TRUE,FALSE,0,0.5
2023-10-21,"Big Ten","Ohio State",2,"Michigan",2,TRUE,FALSE,0,0.5
2023-10-22,"Non-Conference","St. Lawrence",2,"Merrimack",5,FALSE,FALSE,3,1
2023-10-26,"Hockey East","Northeastern",1,"New Hampshire",4,FALSE,FALSE,3,1
2023-10-26,"Non-Conference","Alaska-Anchorage",1,"Penn State",2,FALSE,FALSE,1,1
2023-10-26,"Non-Conference","Michigan State",4,"Boston College",6,FALSE,FALSE,2,1
2023-10-26,"Non-Conference","Mercyhurst",3,"Notre Dame",4,TRUE,FALSE,1,1
2023-10-26,"Big Ten","Wisconsin",5,"Minnesota",2,FALSE,FALSE,-3,0
2023-10-27,"Atlantic Hockey","Bentley",3,"Robert Morris",4,FALSE,FALSE,1,1
2023-10-27,"Atlantic Hockey","Niagara",4,"Sacred Heart",3,TRUE,FALSE,-1,0
2023-10-27,"Atlantic Hockey","RIT",3,"Holy Cross",2,TRUE,FALSE,-1,0
2023-10-27,"ECAC","Harvard",1,"Dartmouth",1,TRUE,FALSE,0,0.5
2023-10-27,"ECAC","Yale",3,"Brown",2,TRUE,FALSE,-1,0
2023-10-27,"Hockey East","Massachusetts",2,"Boston University",5,FALSE,FALSE,3,1
2023-10-27,"Hockey East","Vermont",1,"Providence",4,FALSE,FALSE,3,1
2023-10-27,"Hockey East","Connecticut",2,"Mass.-Lowell",1,TRUE,FALSE,-1,0
2023-10-27,"Non-Conference","Lake Superior",4,"Clarkson",3,TRUE,FALSE,-1,0
2023-10-27,"Non-Conference","Minnesota-Duluth",1,"Cornell",4,FALSE,FALSE,3,1
2023-10-27,"Non-Conference","Augustana",5,"Denver",5,TRUE,FALSE,0,0.5
2023-10-27,"Non-Conference","Maine",2,"Quinnipiac",1,TRUE,FALSE,-1,0
2023-10-27,"Non-Conference","Michigan Tech",2,"St. Lawrence",2,TRUE,FALSE,0,0.5
2023-10-27,"Non-Conference","Alaska-Anchorage",6,"Penn State",5,FALSE,FALSE,-1,0
2023-10-27,"Non-Conference","Michigan State",1,"Boston College",5,FALSE,FALSE,4,1
2023-10-27,"Non-Conference","Lindenwood",1,"Michigan",9,FALSE,FALSE,8,1
2023-10-27,"Non-Conference","Colorado College",6,"Air Force",2,FALSE,FALSE,-4,0
2023-10-27,"Non-Conference","Arizona State",4,"Miami",5,TRUE,FALSE,1,1
